TIME,DISTANCE,SPEED,POWERELECTRICALTOTAL
15.568001,901.626,78.30782,-588.773
15.588001,903.184,78.30782,-564.796
15.608001,904.728,78.30782,-525.725
15.628001,906.257,78.30782,-507.778
15.648001,907.773,78.30782,-480.037
15.668001,909.277,74.8487,-467.767
15.688001,910.768,74.8487,-449.151
15.708001,912.249,74.8487,-431.987
15.728001,913.719,74.8487,-416.484
15.748001,915.179,74.8487,-410.817
15.768001,916.629,72.19036,-408.928
15.788001,918.069,72.19036,-408.531
15.808001,919.499,72.19036,-402.419
15.828001,920.918,72.19036,-384.631
15.848001,922.327,72.19036,-356.399
15.868001,923.727,69.75327,-339.968
15.888001,925.118,69.75327,-312.165
15.908001,926.501,69.75327,-45
15.928001,927.876,69.75327,-282.664
15.948001,929.244,69.75327,-280.219
15.968001,930.605,67.863,-283.075
15.988001,931.959,67.863,-280.759
16.008001,933.305,67.863,-281.815
16.028001,934.644,67.863,-283.424
16.048001,935.977,67.863,-282.849
16.068001,937.302,65.97715,-286.695
16.088001,938.618,65.97715,-287.826
16.108001,939.928,65.97715,-282.385
16.128001,941.228,65.97715,-277.269
16.148001,942.522,65.97715,-271.992
16.168001,943.807,64.10808,-269.193
16.188001,945.086,64.10808,-266.592
16.208001,946.357,64.10808,-266.667
16.228001,947.621,64.10808,-267.744
16.248001,948.876,64.10808,-267.196
16.268001,950.125,62.20457,-266.641
16.288001,951.365,62.20457,-264.35
16.308001,952.599,62.20457,-257.462
16.328001,953.826,62.20457,-253.853
16.348001,955.045,62.20457,-248.755
16.368001,956.259,60.45059,-241.894
16.388001,957.465,60.45059,-239.68
16.408001,958.664,60.45059,-239.301
16.428001,959.857,60.45059,-239.202
16.448001,961.043,60.45059,-238.717
16.468001,962.223,58.70375,-233.165
16.488001,963.397,58.70375,-223.684
16.508001,964.563,58.70375,-212.511
16.528001,965.721,58.70375,-202.582
16.548001,966.872,58.70375,-198.075
16.568001,968.018,57.12107,-187.179
16.588001,969.159,57.12107,-181.6
